Device            : acmefx500bga441
Package           : BGA441
Date              : Tue Jan 14 09:02:11 2025
Rev               : 1.0

Pin     Pin Name                  Memory Byte Group   Bank  VCCAUX Group  Super Logic Region  I/O Type
A1      NC                        NA                  NA    NA            NA                  NC
A2      NC                        NA                  NA    NA            NA                  NC
A3      VCCO_0                    NA                  0     NA            NA                  POWER
A4      VCCO_0                    NA                  0     NA            NA                  POWER
A5      VCCO_0                    NA                  0     NA            NA                  POWER
A6      IO_L0P_B0                 NA                  0     NA            NA                  HSTL
A7      IO_L1N_B0                 NA                  0     NA            NA                  HSTL
A8      IO_L2P_B0                 NA                  0     NA            NA                  HSTL
A9      IO_L3N_B0                 NA                  0     NA            NA                  HSTL
A10     IO_L4P_B0                 NA                  0     NA            NA                  HSTL
A11     IO_L5N_B0                 NA                  0     NA            NA                  HSTL
A12     IO_L6P_B0                 NA                  0     NA            NA                  HSTL
A13     IO_L7N_B0                 NA                  0     NA            NA                  HSTL
A14     IO_L8P_B0                 NA                  0     NA            NA                  HSTL
A15     IO_L9N_B0                 NA                  0     NA            NA                  HSTL
A16     IO_L10P_B0                NA                  0     NA            NA                  HSTL
A17     IO_L11N_B0                NA                  0     NA            NA                  HSTL
A18     IO_L12P_B0                NA                  0     NA            NA                  HSTL
A19     IO_L13N_B0                NA                  0     NA            NA                  HSTL
A20     NC                        NA                  NA    NA            NA                  NC
A21     NC                        NA                  NA    NA            NA                  NC
B1      NC                        NA                  NA    NA            NA                  NC
B2      NC                        NA                  NA    NA            NA                  NC
B3      IO_L14P_B0                NA                  0     NA            NA                  HSTL
B4      IO_L15N_B0                NA                  0     NA            NA                  HSTL
B5      IO_L16P_B0                NA                  0     NA            NA                  HSTL
B6      IO_L17N_B0                NA                  0     NA            NA                  HSTL
B7      IO_L18P_B0                NA                  0     NA            NA                  HSTL
B8      GND                       NA                  NA    NA            NA                  GND
B9      IO_L19N_B0                NA                  0     NA            NA                  HSTL
B10     IO_L20P_B0                NA                  0     NA            NA                  HSTL
B11     IO_L21N_B0                NA                  0     NA            NA                  HSTL
B12     IO_L22P_B0                NA                  0     NA            NA                  HSTL
B13     IO_L23N_B0                NA                  0     NA            NA                  HSTL
B14     IO_L24P_B0                NA                  0     NA            NA                  HSTL
B15     IO_L25N_B0                NA                  0     NA            NA                  HSTL
B16     IO_L26P_B0                NA                  0     NA            NA                  HSTL
B17     IO_L27N_B0                NA                  0     NA            NA                  HSTL
B18     IO_L28P_B0                NA                  0     NA            NA                  HSTL
B19     IO_L29N_B0                NA                  0     NA            NA                  HSTL
B20     NC                        NA                  NA    NA            NA                  NC
B21     NC                        NA                  NA    NA            NA                  NC
C1      IO_L30P_B0                NA                  0     NA            NA                  HSTL
C2      IO_L31N_B0                NA                  0     NA            NA                  HSTL
C3      IO_L32P_B0                NA                  0     NA            NA                  HSTL
C4      IO_L33N_B0                NA                  0     NA            NA                  HSTL
C5      IO_L34P_B0                NA                  0     NA            NA                  HSTL
C6      IO_L35N_B0                NA                  0     NA            NA                  HSTL
C7      IO_L36P_B0                NA                  0     NA            NA                  HSTL
C8      IO_L37N_B0                NA                  0     NA            NA                  HSTL
C9      IO_L38P_B0                NA                  0     NA            NA                  HSTL
C10     IO_L39N_B0                NA                  0     NA            NA                  HSTL
C11     VCC_AUX                   NA                  NA    NA            NA                  POWER
C12     IO_L40P_B0                NA                  0     NA            NA                  HSTL
C13     IO_L41N_B0                NA                  0     NA            NA                  HSTL
C14     IO_L42P_B0                NA                  0     NA            NA                  HSTL
C15     IO_L43N_B0                NA                  0     NA            NA                  HSTL
C16     GND                       NA                  NA    NA            NA                  GND
C17     IO_L44P_B0                NA                  0     NA            NA                  HSTL
C18     IO_L45N_B0                NA                  0     NA            NA                  HSTL
C19     IO_L46P_B0                NA                  0     NA            NA                  HSTL
C20     IO_L47N_B0                NA                  0     NA            NA                  HSTL
C21     IO_L48P_B0                NA                  0     NA            NA                  HSTL
D1      IO_L49N_B0                NA                  0     NA            NA                  HSTL
D2      IO_L50P_B0                NA                  0     NA            NA                  HSTL
D3      IO_L51N_B0                NA                  0     NA            NA                  HSTL
D4      IO_L52P_B0                NA                  0     NA            NA                  HSTL
D5      IO_L53N_B0                NA                  0     NA            NA                  HSTL
D6      IO_L54P_B0                NA                  0     NA            NA                  HSTL
D7      IO_L55N_B0                NA                  0     NA            NA                  HSTL
D8      IO_L56P_B0                NA                  0     NA            NA                  HSTL
D9      IO_L57N_B0                NA                  0     NA            NA                  HSTL
D10     IO_L58P_B0                NA                  0     NA            NA                  HSTL
D11     IO_L59N_B0                NA                  0     NA            NA                  HSTL
D12     IO_L60P_B0                NA                  0     NA            NA                  HSTL
D13     IO_L61N_B0                NA                  0     NA            NA                  HSTL
D14     IO_L62P_B0                NA                  0     NA            NA                  HSTL
D15     IO_L63N_B0                NA                  0     NA            NA                  HSTL
D16     IO_L64P_B0                NA                  0     NA            NA                  HSTL
D17     IO_L65N_B0                NA                  0     NA            NA                  HSTL
D18     IO_L66P_B0                NA                  0     NA            NA                  HSTL
D19     IO_L67N_B0                NA                  0     NA            NA                  HSTL
D20     IO_L68P_B0                NA                  0     NA            NA                  HSTL
D21     IO_L69N_B0                NA                  0     NA            NA                  HSTL
E1      IO_L70P_B0                NA                  0     NA            NA                  HSTL
E2      IO_L71N_B0                NA                  0     NA            NA                  HSTL
E3      GND                       NA                  NA    NA            NA                  GND
E4      IO_L72P_B0                NA                  0     NA            NA                  HSTL
E5      IO_L73N_B0                NA                  0     NA            NA                  HSTL
E6      IO_L74P_B0                NA                  0     NA            NA                  HSTL
E7      IO_L75N_B0                NA                  0     NA            NA                  HSTL
E8      IO_L76P_B0                NA                  0     NA            NA                  HSTL
E9      IO_L77N_B0                NA                  0     NA            NA                  HSTL
E10     IO_L78P_B0                NA                  0     NA            NA                  HSTL
