rule_id,domain,severity,name,description,jitx_coverage_status,responsible_skill,introspection_api_needed,gap_notes
PWR_DECPL_001,Power,Critical,IC power pins must be locally decoupled,Every IC power pin should have at least one local high-frequency decoupling capacitor placed close to the pin.,future-design-review,phase-3b-audit,"board.distance(pin, component)",100nF within 5mm of IC pin - needs placement introspection
HS_DIFF_001,HighSpeed+EMC,Critical,Differential pair must not cross plane splits,High-speed differential pairs should be routed over a continuous reference plane to ensure stable impedance and return paths.,future-design-review,phase-3b-audit,board.plane_continuity_under(net),Diff pair over continuous reference - introspection needed
AN_OPAMP_001,Analog+MixedSignal,Major,Op-amp common-mode range must be respected,All op-amp inputs must remain within the valid common-mode input range across operating conditions.,uncovered-authorable,references/domains/analog-mixed-signal.md,,"Op-amp CM range - selection-time check, no current home"
EMC_ESD_001,EMC,Major,External connectors must have ESD protection nearby,External-facing connectors should include ESD protection components placed close to the connector.,partial,references/domains/external-interfaces.md,"board.distance(component, component)","TVS <=10mm from connector - presence covered, distance future"
AN_ADC_001,Analog+MixedSignal,Major,ADC input must be protected and filtered,ADC inputs should include input protection components and appropriate anti-aliasing filters.,uncovered-authorable,references/domains/analog-mixed-signal.md,,ADC input clamp + anti-alias filter
DFT_TP_001,DFT,Minor,Critical rails and signals need test points,All major power rails and important clocks/resets should have test points or exposed vias for measurement.,uncovered-authorable,references/domains/dft.md,,Test points on power rails - schematic-time check
HS_DDR_001,HighSpeed,Critical,DDR: Data/Address/Command length matching,DDR data (DQ/DQS) and address/command lines must be length matched within specified tolerances to ensure proper timing.,covered,jitx-interconnect-constraints,,DDR length matching - protocol-standard SI constraints
HS_DDR_002,HighSpeed+Power,Major,DDR: VREF/VTT/VDDQ rail integrity,"DDR reference voltage (VREF), termination voltage (VTT), and data power (VDDQ) rails must be stable and properly decoupled.",covered,jitx-circuit-builder,,DDR VREF/VTT/VDDQ rail decoupling - per-rail decoupling discipline + Power Circuit checklist
HS_SER_001,HighSpeed,Critical,High-speed serial: Differential impedance control,"High-speed differential pairs (USB3, PCIe, LVDS, MIPI) must be routed with controlled differential impedance (typically 90 or 100 ohms).",covered,jitx-substrate-modeler,,USB3/PCIe/MIPI 90-100Ω - routing structures
HS_SER_002,HighSpeed+EMC,Critical,High-speed serial: Max vias and plane splits,High-speed serial differential pairs should have a minimal number of vias and must not cross plane splits to maintain signal integrity.,partial,phase-3b-audit,"board.via_count(net), board.plane_split_under(net)","<=2 vias per trace, no plane splits"
HS_CLK_001,HighSpeed,Major,Clock nets: Single-source driving & termination,Clock signals should ideally be driven by a single source and properly terminated to prevent reflections and ringing.,partial,references/domains/high-speed-si.md,,"Single driver, 33Ω series term - termination decision missing at authoring"
PWR_BUCK_001,Power,Critical,Buck converter hot loop minimization,"The input capacitor, switching FET, and output diode (for asynchronous) or top/bottom FETs (for synchronous) form a high dI/dt 'hot loop' in buck converters. This loop area must be minimized.",future-design-review,phase-3b-audit,board.loop_area(net_set),"Hot loop <=20mm² - currently only abstract ""minimize"" via SwTag"
